"","EVENT_DATE","YEAR","EVENT_TYPE","PERPRETATORS","VICTIMS","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","SOURCE","FATALITIES"
"686","2000-09-17",2000,"Riots/Protests","Police Forces of Kenya (1978-2002)","Rioters (Kenya)","Kenya","Nairobi","Mathare","Mabatini","Mathare",-1.261413,36.860813,"BBC Monitoring",0
"687","2000-09-21",2000,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Xinhua",0
"688","2000-09-23",2000,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"All Africa",0
"689","2000-09-24",2000,"Battle-No change of territory","Police Forces of Kenya (1978-2002)","Mungiki Militia","Kenya","Meru","Tigania West","Kianjai","Kianjai",0.166667,37.75,"All Africa",1
"690","2000-09-30",2000,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Associated Press",0
"691","2000-10-03",2000,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Nairobi","Ruaraka","Baba Dogo","Kariobangi",-1.240741,36.880354,"Reuters",0
"692","2000-10-03",2000,"Battle-No change of territory","Police Forces of Kenya (1978-2002)","Mungiki Militia","Kenya","Machakos","Machakos Town","Machakos Central","Machakos",-1.51667,37.26667,"BBC Monitoring",0
"693","2000-10-03",2000,"Violence against civilians","Police Forces of Kenya (1978-2002)","Civilians (Kenya)","Kenya","Nairobi","Ruaraka","Baba Dogo","Kariobangi",-1.240741,36.880354,"Reuters",2
"694","2000-10-03",2000,"Violence against civilians","Vigilante Militia (Kenya)","Civilians (Kenya)","Kenya","Nairobi","Ruaraka","Baba Dogo","Kariobangi",-1.240741,36.880354,"Associated Press",1
"695","2000-10-04",2000,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Machakos","Machakos Town","Machakos Central","Machakos",-1.51667,37.26667,"BBC Monitoring",1
"696","2000-10-05",2000,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Mombasa","Mvita","Tononoka","Mombasa",-4.05,39.66667,"BBC Monitoring",0
"697","2000-10-05",2000,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"BBC Monitoring",0
"698","2000-10-06",2000,"Battle-No change of territory","Unidentified Armed Group (Kenya)","KANU: Kenya African National Union","Kenya","Nairobi","Westlands","Mountain View","Kangemi",-1.269461,36.743557,"BBC Monitoring",0
"699","2000-10-08",2000,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Nairobi","Mathare","Mabatini","Mathare",-1.261413,36.860813,"PANA Newswires",0
"700","2000-10-08",2000,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"PANA Newswires",0
"701","2000-10-08",2000,"Battle-No change of territory","Police Forces of Kenya (1978-2002)","Mungiki Militia","Kenya","Nairobi","Mathare","Mabatini","Mathare",-1.261413,36.860813,"PANA Newswires",0
"702","2000-10-08",2000,"Battle-No change of territory","Police Forces of Kenya (1978-2002)","Mungiki Militia","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"PANA Newswires",0
"703","2000-10-08",2000,"Violence against civilians","Mungiki Militia","Civilians (Kenya)","Kenya","Nairobi","Mathare","Mabatini","Mathare",-1.261413,36.860813,"BBC Monitoring",0
"704","2000-10-15",2000,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"BBC Monitoring",1
"705","2000-10-22",2000,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Mombasa","Mvita","Tononoka","Mombasa",-4.05,39.66667,"All Africa",0
"706","2000-10-22",2000,"Violence against civilians","Mungiki Militia","Civilians (Kenya)","Kenya","Nairobi","Embakasi Central","Kayole Central","Kayole",-1.277487,36.912872,"BBC Monitoring",0
"707","2000-10-24",2000,"Battle-No change of territory","Police Forces of Kenya (1978-2002)","Mungiki Militia","Kenya","Nairobi","Westlands","Mountain View","Kangemi",-1.269461,36.743557,"BBC Monitoring",0
